dataset	tax_level	group_variable	distance_metric	R2	F_statistic	p_value	betadisper_statistic	betadisper_p_value	n_samples	FDR_p_value
PRJNA255332	Class	Primary_group	BrayCurtis	0.25605572387049275	7.572107355215671	0.005	1.137777777777771	0.28612238439101645	24	0.005
PRJNA255332	Class	Primary_group	Jaccard	0.34622934470843797	11.650944443489381	0.001	2.152983270476738	0.14229316834003997	24	0.003
PRJNA255332	Class	Primary_group	Aitchison	0.1988193496378762	5.45947495119393	0.002	12.017777777777795	0.0005269549311905944	24	0.003
