dataset	tax_level	analysis_role	main_variable	main_variable_display	main_variable_type	term	taxon	beta	standard_error	statistic	p_value	n_samples	covariates	cluster_column	reference_group	model_formula	FDR_p_value	direction	raw_p_significance	FDR_p_significance
PRJNA255332	Class	OTHER_METADATA_ASSOCIATION	BMI_kg_m2	BMI kg m2	continuous	MAIN_Z	Class:Actinobacteria	-0.7549874701913271	0.31280434451597927	-2.4136092846138824	0.025012573999787055	24	Smoking_status;Age			CLR(Class:Actinobacteria) ~ BMI_kg_m2 + Smoking_status + Age	0.04168762333297843	Negative	p<0.05	p<0.05
PRJNA255332	Class	OTHER_METADATA_ASSOCIATION	BMI_kg_m2	BMI kg m2	continuous	MAIN_Z	Class:Campylobacteria	0.4218502788182151	0.18335998390606628	2.3006670803064933	0.03175787557802169	24	Smoking_status;Age			CLR(Class:Campylobacteria) ~ BMI_kg_m2 + Smoking_status + Age	0.045368393682888135	Positive	p<0.05	p<0.05
PRJNA255332	Class	OTHER_METADATA_ASSOCIATION	BMI_kg_m2	BMI kg m2	continuous	MAIN_Z	Class:Clostridia	1.101978807021286	0.37521600233784047	2.9369184687093277	0.007876571702508401	24	Smoking_status;Age			CLR(Class:Clostridia) ~ BMI_kg_m2 + Smoking_status + Age	0.019506273693500994	Positive	p<0.01	p<0.05
PRJNA255332	Class	OTHER_METADATA_ASSOCIATION	BMI_kg_m2	BMI kg m2	continuous	MAIN_Z	Class:Fusobacteriia	-1.672124052159072	0.22537109176971631	-7.419425619447433	2.6963315727694476e-07	24	Smoking_status;Age			CLR(Class:Fusobacteriia) ~ BMI_kg_m2 + Smoking_status + Age	1.3481657863847237e-06	Negative	p<0.001	p<0.001
PRJNA255332	Class	OTHER_METADATA_ASSOCIATION	BMI_kg_m2	BMI kg m2	continuous	MAIN_Z	Class:Gammaproteobacteria	1.2481012140195906	0.2229975917756714	5.596926872982293	1.4858079138805171e-05	24	Smoking_status;Age			CLR(Class:Gammaproteobacteria) ~ BMI_kg_m2 + Smoking_status + Age	4.9526930462683904e-05	Positive	p<0.001	p<0.001
PRJNA255332	Class	OTHER_METADATA_ASSOCIATION	BMI_kg_m2	BMI kg m2	continuous	MAIN_Z	Class:Negativicutes	-1.6913763691604466	0.5950384984959997	-2.842465442883974	0.009753136846750497	24	Smoking_status;Age			CLR(Class:Negativicutes) ~ BMI_kg_m2 + Smoking_status + Age	0.019506273693500994	Negative	p<0.01	p<0.05
PRJNA255332	Class	OTHER_METADATA_ASSOCIATION	BMI_kg_m2	BMI kg m2	continuous	MAIN_Z	Unclassified_Class	1.1486171458823196	0.15212722185109998	7.550372194442426	2.0553183250950148e-07	24	Smoking_status;Age			CLR(Unclassified_Class) ~ BMI_kg_m2 + Smoking_status + Age	1.3481657863847237e-06	Positive	p<0.001	p<0.001
