dataset	tax_level	group_variable	distance_metric	R2	F_statistic	p_value	betadisper_statistic	betadisper_p_value	n_samples	FDR_p_value
PRJNA255332	Family	Primary_group	BrayCurtis	0.263840164020927	7.884814309029215	0.003	1.137777777777771	0.28612238439101645	24	0.003
PRJNA255332	Family	Primary_group	Jaccard	0.29380699976272273	9.152956759141073	0.001	3.004444444444445	0.08303643937755814	24	0.003
PRJNA255332	Family	Primary_group	Aitchison	0.1904873784569783	5.176846184393687	0.002	12.960000000000008	0.0003182171803150664	24	0.003
