dataset	tax_level	group_variable	metric	contrast	method	statistic	p_value	effect_size	FDR_p_value
PRJNA255332	Phylum	Primary_group	Shannon	Alcohol_user_vs_Non_alcohol_user	Mann-Whitney_U	104.0	0.00017831139112603643	0.3491344701743327	0.00035662278225207287
PRJNA255332	Phylum	Primary_group	Simpson	Alcohol_user_vs_Non_alcohol_user	Mann-Whitney_U	104.0	0.00017831139112603643	0.22454421141452674	0.00035662278225207287
