analysis_sample_id	library_size
SRR1515143	291025.0
SRR1515152	200209.0
SRR1515153	211237.0
SRR1515154	212194.0
SRR1515157	155295.0
SRR1515158	128782.0
SRR1515163	174912.0
SRR1515164	134920.0
SRR1515167	42872.0
SRR1515169	144291.0
SRR1515170	131666.0
SRR1515171	95708.0
SRR1515172	32459.0
SRR1515173	88785.0
SRR1515174	113127.0
SRR1515175	231315.0
SRR1515176	246447.0
SRR1515177	222794.0
SRR1515178	65932.0
SRR1515179	19038.0
SRR1515180	55944.0
SRR1515181	54204.0
SRR1515182	90508.0
SRR1515183	91165.0
