dataset	tax_level	group_variable	distance_metric	R2	F_statistic	p_value	betadisper_statistic	betadisper_p_value	n_samples	FDR_p_value
PRJNA255332	Order	Primary_group	BrayCurtis	0.25501391361951553	7.530752858603064	0.005	1.137777777777771	0.28612238439101645	24	0.005
PRJNA255332	Order	Primary_group	Jaccard	0.3076999958114588	9.778130675857273	0.001	3.739403605432315	0.05314341047770591	24	0.003
PRJNA255332	Order	Primary_group	Aitchison	0.1556852326775589	4.0566329661249085	0.004	12.960000000000008	0.0003182171803150664	24	0.005
