analysis_sample_id	library_size
SRR1515143	291100.0
SRR1515152	200209.0
SRR1515153	211222.0
SRR1515154	212157.0
SRR1515157	155295.0
SRR1515158	128806.0
SRR1515163	174912.0
SRR1515164	133921.0
SRR1515167	42872.0
SRR1515169	144291.0
SRR1515170	131632.0
SRR1515171	95755.0
SRR1515172	32459.0
SRR1515173	88778.0
SRR1515174	113049.0
SRR1515175	231315.0
SRR1515176	246395.0
SRR1515177	222794.0
SRR1515178	65932.0
SRR1515179	19003.0
SRR1515180	55918.0
SRR1515181	54204.0
SRR1515182	90433.0
SRR1515183	91165.0
